palavra,frequencia
they,6
complicated,2
more,3
fingers,1
dear,1
had,24
river,9
their,1
are,1
offence,1
done,4
walking,2
another,2
valley,1
have,13
hollywood,1
here,1
on,16
just,3
didn't,8
said,5
mother,1
underneath,2
living,8
rather,1
around,4
started,1
got,3
i'm,15
next,1
face,3
hide,2
so,1
run,1
victories,1
can,1
was,8
blows,1
me,3
shadow,1
enough,2
destiny,1
safer,2
towards,2
best,2
things,3
soul,1
walk,1
drag,1
son,2
now,6
light,3
stars,4
know,8
confess,1
boy,1
through,1
to,26
i'd,3
say,5
where,2
were,1
ways,1
how,4
from,3
tied,2
shooting,4
we,3
give,2
ever,2
sinner,3
burn,2
lights,1
stranger,1
isn't,1
across,1
manifest,1
cause,1
gonna,6
brown,1
a,49
wildest,1
history,1
let,1
not,4
fulfill,1
everyday,1
there's,2
much,2
't',1
comes,2
they'll,1
see,3
up,10
worried,1
rewrite,1
father,1
numbering,1
angels,2
and,16
one,6
brutal,2
that,14
way,4
baptized,9
heard,1
praying,1
rise,4
wanna,7
seen,5
all,4
hanging,1
formica,1
out,3
no,4
make,5
the,36
something,2
it,1
could,2
i've,10
look,3
side,1
when,6
set,1
head,1
afraid,2
staring,1
but,15
little,2
couldn't,4
weird,1
la,1
feelings,2
mine,2
always,17
this,1
i,41
hopes,16
honest,2
stay,5
killing,4
think,1
night,1
dancing,1
prodigal,2
home,3
manner,1
you,11
dance,2
finish,1
your,4
come,6
sight,1
be,13
foes,1
love,4
about,1
by,1
boulevard,1
myself,1
footsteps,1
wrong,2
believer,2
find,2
grow,1
am,2
lot,2
trying,2
go,4
same,1
prophecy,1
hang,1
it's,8
start,1
feeling,4
don't,5
dreams,1
delivered,11
stronger,1
been,2
wannabes,1
back,5
disguised,2
can't,1
never,2
vision,7
hate,2
town,1
city,4
you're,2
oddities,1
change,1
children,1
waiting,3
swear,2
my,23
down,4
if,2
hope,1
place,1
museum,1
you'll,1
dead,1
like,6
as,3
high,32
ain't,1
of,14
at,1
days,5
too,2
gone,1
biographies,1
floor,1
million,4
separate,1
life,4
that's,2
great,1
fast,1
faultless,1
knows,1
legacy,1
mama,5
haven't,1
feel,1
small,1
wanted,6
crusaders,1
these,5
fault,2
novelties,1
impeccably,1
everything,7
uphill,1
in,17
beautiful,2
own,10
with,1
evil,2
for,14
dime,4
